Step,Optimizer/Actor Loss,Optimizer/Critic Loss,Optimizer/KL,Optimizer/Mirror Loss,Test/Episode Length,Test/Return,Time/Ideal Sample Rate,Time/Optimize Time,Time/Overhead Loss,Time/Sample Rate,Time/Sample Time,Time/Timesteps per Iteration,Time/Timesteps per Second (FULL),Time/Total Timesteps,Train/Episode Length,Train/Return
0,-0.030636390671133995,43.18297576904297,0.0017236097482964396,0.042900074273347855,,,0.09855397045612335,0.5304248332977295,0.26715558767318726,0.09728405624628067,20.73309898376465,2017.0,94.0,2017.0,28.408451080322266,16.914945602416992
1,-0.03493477776646614,28.765033721923828,0.001485802000388503,0.03944729268550873,,,0.10022713243961334,0.5384068489074707,0.2017347365617752,0.09923140704631805,20.30607032775879,2015.0,96.0,4032.0,30.074626922607422,18.033199310302734
2,-0.028079928830266,30.050743103027344,0.001489049755036831,0.0368061363697052,31.283018112182617,21.925222396850586,0.0987735465168953,0.5291719436645508,15.291447639465332,0.056455787271261215,35.691646575927734,2015.0,55.0,6047.0,29.632352828979492,17.748733520507812
3,-0.03341032192111015,22.205934524536133,0.001346030505374074,0.03619161248207092,,,0.10161102563142776,0.5332751274108887,0.6485322117805481,0.09836983680725098,20.331436157226562,2000.0,96.0,8047.0,32.25806427001953,19.08172035217285
4,-0.026955345645546913,19.249052047729492,0.0014543688157573342,0.0375618152320385,29.188678741455078,20.589082717895508,0.10037409514188766,0.5230534076690674,15.168652534484863,0.057014238089323044,35.114036560058594,2002.0,56.0,10049.0,29.441177368164062,17.21738052368164
5,-0.031667422503232956,19.884340286254883,0.0013632304035127163,0.03610379993915558,,,0.10252901911735535,0.5464520454406738,0.6077690720558167,0.09951578825712204,20.68013572692871,2058.0,94.0,12107.0,32.66666793823242,19.50981330871582
6,-0.028730396181344986,12.044622421264648,0.0014769748086109757,0.03505811095237732,32.88679122924805,22.921607971191406,0.10228097438812256,0.5227639675140381,16.46014404296875,0.055911414325237274,36.30743408203125,2030.0,54.0,14137.0,30.75757598876953,18.376178741455078
7,-0.03602389618754387,16.50693702697754,0.001254187198355794,0.033321790397167206,,,0.10516082495450974,0.5236477851867676,0.4273443818092346,0.10286327451467514,19.55994415283203,2012.0,100.0,16149.0,33.53333282470703,19.810035705566406
8,-0.034135300666093826,12.0713529586792,0.0013310813810676336,0.03321949765086174,35.60377502441406,24.37108612060547,0.10229357331991196,0.5324058532714844,16.871366500854492,0.05499931052327156,36.49136734008789,2007.0,54.0,18156.0,31.359375,18.65617561340332
9,-0.04112524539232254,16.77455711364746,0.0010520811192691326,0.032551441341638565,,,0.10869824141263962,0.5255725383758545,0.31678617000579834,0.10687636584043503,18.90034294128418,2020.0,103.0,20176.0,36.727272033691406,21.435461044311523
10,-0.03681723400950432,19.908010482788086,0.0011436238419264555,0.03153788298368454,33.622642517089844,23.49562644958496,0.10640401393175125,0.5508167743682861,16.72854995727539,0.056965671479701996,36.0041389465332,2051.0,55.0,22227.0,35.36206817626953,21.29313087463379
11,-0.030511219054460526,12.047762870788574,0.0013079015770927072,0.030334986746311188,,,0.10732004046440125,0.525660514831543,1.2489994764328003,0.10065406560897827,20.108478546142578,2024.0,97.0,24251.0,34.305084228515625,19.929336547851562
12,-0.03840603306889534,15.751261711120605,0.001159320818260312,0.02934781275689602,,,0.10732488334178925,0.5140061378479004,0.3816234767436981,0.10520025342702866,19.27752113342285,2028.0,101.0,26279.0,36.87272644042969,21.452064514160156
13,-0.03675811365246773,12.462019920349121,0.0013394522247835994,0.028559690341353416,40.88679122924805,28.245952606201172,0.1073596403002739,0.527437686920166,18.98163604736328,0.05348336696624756,37.82484436035156,2023.0,52.0,28302.0,36.125,21.531719207763672
14,-0.04251354560256004,20.423921585083008,0.0010406795190647244,0.027555417269468307,46.132076263427734,31.565601348876953,0.10883483290672302,0.5197896957397461,20.245481491088867,0.051973406225442886,38.750587463378906,2014.0,51.0,30316.0,38.0,22.62636375427246
15,-0.0348479263484478,17.97640037536621,0.0012716831406578422,0.02775740996003151,42.20754623413086,28.68037223815918,0.11155788600444794,0.5506229400634766,19.48630142211914,0.054211292415857315,37.907230377197266,2055.0,52.0,32371.0,40.29411697387695,23.96187973022461
16,-0.03738413751125336,14.424196243286133,0.00101481715682894,0.027444379404187202,42.69811248779297,29.736387252807617,0.11386154592037201,0.5322413444519043,19.513168334960938,0.05415196344256401,37.21009826660156,2015.0,53.0,34386.0,43.80434799194336,25.424428939819336
17,-0.04013143479824066,15.229846000671387,0.0010945021640509367,0.026338228955864906,42.150943756103516,29.017648696899414,0.11355208605527878,0.5323700904846191,19.574172973632812,0.054356649518013,37.548301696777344,2041.0,53.0,36427.0,42.52083206176758,25.02398681640625
18,-0.034505367279052734,8.549239158630371,0.001151536125689745,0.027688872069120407,,,0.10850009322166443,0.5276787281036377,0.8324683904647827,0.10384299606084824,19.394664764404297,2014.0,100.0,38441.0,35.96428680419922,21.328380584716797
19,-0.04344459995627403,15.307973861694336,0.001223228289745748,0.02542688511312008,,,0.11458214372396469,0.5385441780090332,0.7550828456878662,0.10992903262376785,18.593814849853516,2044.0,104.0,40485.0,43.48936080932617,25.680217742919922
20,-0.03958500549197197,20.999807357788086,0.001111271558329463,0.025698555633425713,47.81132125854492,32.74016571044922,0.11279810965061188,0.5447278022766113,20.842308044433594,0.05267865210771561,39.10502624511719,2060.0,50.0,42545.0,43.82978820800781,25.71271514892578
21,-0.03522900864481926,17.01609992980957,0.0010400034952908754,0.02350633777678013,46.88679122924805,32.73455047607422,0.11697572469711304,0.5323827266693115,20.82854652404785,0.052806440740823746,37.96885299682617,2005.0,52.0,44550.0,47.738094329833984,27.806926727294922
22,-0.040029607713222504,14.412702560424805,0.0011716713197529316,0.02382056415081024,48.11320877075195,32.659000396728516,0.1223357692360878,0.5338640213012695,21.924327850341797,0.05249512940645218,38.403564453125,2016.0,51.0,46566.0,54.486488342285156,30.854528427124023
23,-0.039492733776569366,15.3599271774292,0.0010848625097423792,0.023931726813316345,50.641510009765625,34.69192123413086,0.12032297253608704,0.5415248870849609,22.238784790039062,0.05210776627063751,39.22639846801758,2044.0,50.0,48610.0,51.099998474121094,29.603609085083008
24,-0.04274382069706917,15.273336410522461,0.0010877413442358375,0.022766515612602234,,,0.11881965398788452,0.5473015308380127,1.1807491779327393,0.11118093878030777,18.366458892822266,2042.0,106.0,50652.0,48.619049072265625,28.51369285583496
25,-0.04122282937169075,16.55052375793457,0.0011172593804076314,0.020707206800580025,,,0.11918345093727112,0.534674882888794,0.8648220896720886,0.11342167109251022,17.88899803161621,2029.0,108.0,52681.0,49.4878044128418,28.950590133666992
26,-0.03394700959324837,13.730236053466797,0.0010467671090736985,0.021145867183804512,,,0.11432307958602905,0.5694646835327148,0.18406128883361816,0.11314386874437332,17.84453773498535,2019.0,109.0,54700.0,43.89130401611328,26.098793029785156
27,-0.0414443276822567,14.280404090881348,0.0010893790749832988,0.019971096888184547,,,0.12116773426532745,0.5519707202911377,0.6231061816215515,0.11686573177576065,17.5500545501709,2051.0,110.0,56751.0,51.275001525878906,29.755535125732422
28,-0.04251179099082947,17.10764503479004,0.001119528547860682,0.0204785019159317,,,0.11516005545854568,0.5363063812255859,1.3384120464324951,0.10696203261613846,18.801063537597656,2011.0,103.0,58762.0,45.70454406738281,27.15741539001465
29,-0.04610743001103401,12.015976905822754,0.0011484775459393859,0.01982240006327629,,,0.1178746372461319,0.5429317951202393,0.8752148151397705,0.1121792420744896,18.113868713378906,2032.0,107.0,60794.0,47.25581359863281,28.20775032043457
30,-0.03989215940237045,12.108113288879395,0.0010902199428528547,0.02040073275566101,,,0.12577281892299652,0.5594050884246826,1.6847307682037354,0.11399046331644058,17.983959197998047,2050.0,108.0,62844.0,55.4054069519043,31.56479835510254
31,-0.036204006522893906,12.031597137451172,0.0010372340911999345,0.020584529265761375,53.30188751220703,36.25749969482422,0.11811822652816772,0.5317733287811279,22.81602668762207,0.05047520995140076,39.84134292602539,2011.0,50.0,64855.0,47.880950927734375,28.535385131835938
32,-0.037687998265028,12.956972122192383,0.0010366728529334068,0.01929176226258278,,,0.12101275473833084,0.539473295211792,1.590213418006897,0.11055803298950195,18.40662384033203,2035.0,105.0,66890.0,52.17948532104492,30.38816261291504
33,-0.03488129377365112,10.21621322631836,0.0009831481147557497,0.02003476209938526,,,0.12315216660499573,0.534290075302124,0.2842908501625061,0.1210375651717186,16.556842803955078,2004.0,117.0,68894.0,54.16216278076172,31.724178314208984
34,-0.03495413437485695,8.015708923339844,0.0010222436394542456,0.019372574985027313,52.660377502441406,36.53596115112305,0.12377339601516724,0.5464398860931396,23.919998168945312,0.0505807064473629,40.4502067565918,2046.0,49.0,70940.0,55.297298431396484,32.08951950073242
35,-0.04266951233148575,13.137956619262695,0.0009326533763669431,0.020502248778939247,59.77358627319336,40.80022048950195,0.12375561147928238,0.5351402759552002,24.667081832885742,0.049631521105766296,41.18350601196289,2044.0,48.0,72984.0,55.24324417114258,32.35368728637695
36,-0.03556160256266594,15.721980094909668,0.0009409680496901274,0.021010281518101692,57.339622497558594,39.177249908447266,0.12219491600990295,0.553119421005249,24.54277992248535,0.04965677112340927,41.343807220458984,2053.0,48.0,75037.0,54.02631759643555,30.809141159057617
37,-0.040787093341350555,9.850940704345703,0.0008977928082458675,0.02088259346783161,,,0.1237252950668335,0.5294284820556641,1.0369048118591309,0.1162707582116127,17.209829330444336,2001.0,113.0,77038.0,55.58333206176758,31.5867977142334
38,-0.03963436558842659,10.95009708404541,0.0009365871665067971,0.019650697708129883,,,0.12669411301612854,0.5373480319976807,1.3460057973861694,0.11685355007648468,17.329383850097656,2025.0,112.0,79063.0,56.25,32.742881774902344
39,-0.0393373928964138,15.906827926635742,0.0009443271555937827,0.018663471564650536,59.79245376586914,40.7736701965332,0.12489265948534012,0.5251271724700928,25.48636817932129,0.048472773283720016,41.65224838256836,2019.0,47.0,81082.0,56.08333206176758,33.40491485595703
40,-0.03751247748732567,7.617081165313721,0.0009214252349920571,0.01796536147594452,61.8301887512207,41.61764907836914,0.12906429171562195,0.7786045074462891,25.620223999023438,0.04933355376124382,41.4727897644043,2046.0,47.0,83128.0,66.0,36.715232849121094
41,-0.035817742347717285,9.589232444763184,0.0010394767159596086,0.01800447143614292,59.11320877075195,40.03458786010742,0.12442788481712341,0.5294835567474365,25.027772903442383,0.048911236226558685,41.23796844482422,2017.0,48.0,85145.0,57.628570556640625,33.494476318359375
42,-0.040508728474378586,12.199711799621582,0.0010084810201078653,0.01799888350069523,,,0.12274632602930069,0.5266997814178467,0.881529688835144,0.11653761565685272,17.42784881591797,2031.0,111.0,87176.0,54.89189147949219,32.11139678955078
43,-0.037387389689683914,14.404786109924316,0.0010392364347353578,0.01813916116952896,,,0.12777061760425568,0.5515115261077881,1.6215189695358276,0.1161406934261322,17.814599990844727,2069.0,109.0,89245.0,62.69696807861328,37.00366973876953
44,-0.0353253148496151,7.516104221343994,0.0011689338134601712,0.018702540546655655,60.20754623413086,41.05434799194336,0.1273343563079834,0.5241489410400391,25.359710693359375,0.04891158640384674,41.17633819580078,2014.0,48.0,91259.0,59.235294342041016,34.326820373535156
45,-0.04094040021300316,9.556851387023926,0.0008876704378053546,0.01937490701675415,,,0.1250830590724945,0.525644063949585,2.1469204425811768,0.11037980020046234,18.264211654663086,2016.0,106.0,93275.0,57.599998474121094,33.8073844909668
46,-0.04045705869793892,6.497172832489014,0.0008795562316663563,0.019185293465852737,,,0.12982191145420074,0.5413596630096436,1.5604802370071411,0.11802603304386139,17.174177169799805,2027.0,113.0,95302.0,57.91428756713867,33.7886962890625
47,-0.03393400087952614,13.919177055358887,0.0009434696985408664,0.018935877829790115,,,0.12691664695739746,0.541975736618042,0.9995207786560059,0.11942771822214127,16.939115524291992,2023.0,114.0,97325.0,61.30303192138672,35.66738510131836
48,-0.033686667680740356,11.164528846740723,0.000966208113823086,0.018516577780246735,,,0.1245175153017044,0.5463590621948242,1.5873150825500488,0.11358257383108139,18.074954986572266,2053.0,107.0,99378.0,57.02777862548828,33.74378967285156
49,-0.04083334654569626,8.273609161376953,0.0009409263147972524,0.01839706487953663,,,0.12398979812860489,0.5322275161743164,1.1863181591033936,0.11549954861402512,17.324743270874023,2001.0,112.0,101379.0,55.58333206176758,32.1373405456543
50,-0.033981967717409134,9.786040306091309,0.0009406896424479783,0.01759088784456253,,,0.1272621899843216,0.5278604030609131,2.09310245513916,0.1124160885810852,17.942272186279297,2017.0,108.0,103396.0,61.121212005615234,36.01896667480469
51,-0.033662132918834686,12.184381484985352,0.0009491857490502298,0.01702316664159298,,,0.12421056628227234,0.5360989570617676,0.4038865268230438,0.12121788412332535,16.763202667236328,2032.0,116.0,105428.0,56.44444274902344,33.918636322021484
52,-0.03896421194076538,14.032840728759766,0.0009116853470914066,0.017188558354973793,,,0.12846142053604126,0.5219078063964844,1.700441837310791,0.11582941561937332,17.29267120361328,2003.0,112.0,107431.0,64.61289978027344,38.091854095458984
53,-0.03765426576137543,12.648181915283203,0.0009857045952230692,0.01699986308813095,60.81132125854492,41.20463180541992,0.1265738606452942,0.5464627742767334,25.281131744384766,0.049498140811920166,41.5167121887207,2055.0,48.0,109486.0,60.44117736816406,36.080596923828125
54,-0.03951556235551834,7.8575286865234375,0.0010777864372357726,0.015643013641238213,,,0.12779684364795685,0.5241899490356445,1.4847949743270874,0.11672770977020264,17.142459869384766,2001.0,113.0,111487.0,60.6363639831543,35.93367385864258
55,-0.040645796805620193,12.4122896194458,0.000984056736342609,0.015651335939764977,,,0.12683522701263428,0.5409739017486572,1.8405050039291382,0.1139138713479042,18.066280364990234,2058.0,107.0,113545.0,58.79999923706055,34.63190841674805
56,-0.04174588993191719,9.935247421264648,0.0010235968511551619,0.015214299783110619,,,0.12545278668403625,0.5318129062652588,0.5678502917289734,0.12120763212442398,16.7811222076416,2034.0,115.0,115579.0,58.11428451538086,33.98710250854492
57,-0.039388399571180344,10.698232650756836,0.0009232962038367987,0.015502783469855785,,,0.12842945754528046,0.5266003608703613,2.0054728984832764,0.11396297067403793,17.80402946472168,2029.0,109.0,117608.0,59.67647171020508,35.56523895263672
58,-0.03730597347021103,7.579049110412598,0.0008788940613158047,0.015918048098683357,,,0.12922215461730957,0.5231077671051025,0.9428728818893433,0.12181593477725983,16.4510498046875,2004.0,118.0,119612.0,62.625,36.93238067626953
59,-0.040206894278526306,9.333549499511719,0.0009581352933309972,0.015376203693449497,,,0.12732279300689697,0.5488159656524658,1.6809896230697632,0.11528642475605011,17.78179931640625,2050.0,109.0,121662.0,60.29411697387695,34.832393646240234
60,-0.036111921072006226,10.119213104248047,0.001070199767127633,0.015175472013652325,,,0.12882742285728455,0.5472559928894043,2.2365708351135254,0.11302615702152252,18.234718322753906,2061.0,106.0,123723.0,62.45454406738281,35.90134048461914
61,-0.039909616112709045,10.94539737701416,0.0008682610932737589,0.015659254044294357,,,0.1269952356815338,0.5471124649047852,0.758857250213623,0.12123686075210571,16.7358341217041,2029.0,116.0,125752.0,59.67647171020508,34.51960754394531
62,-0.04085009917616844,6.664802551269531,0.0009202425717376173,0.015090485103428364,,,0.12811845541000366,0.5322844982147217,1.592297911643982,0.11631868034601212,17.28870964050293,2011.0,112.0,127763.0,60.93939208984375,35.084754943847656
63,-0.03985043987631798,8.55854320526123,0.0010035184677690268,0.015810487791895866,,,0.12512202560901642,0.523411750793457,1.5491070747375488,0.1142701506614685,17.861183166503906,2041.0,109.0,129804.0,56.69444274902344,32.83406448364258
64,-0.042330626398324966,11.623610496520996,0.0009184826631098986,0.015497558750212193,,,0.12848696112632751,0.531221866607666,1.1910006999969482,0.11953755468130112,17.09922981262207,2044.0,113.0,131848.0,61.93939208984375,36.4838981628418
65,-0.03612762689590454,11.41551685333252,0.0008578751585446298,0.015806306153535843,,,0.1258307844400406,0.525801420211792,1.5047131776809692,0.11495857685804367,17.414968490600586,2002.0,111.0,133850.0,58.882354736328125,33.563297271728516
66,-0.0383254811167717,12.23265552520752,0.0009836242534220219,0.015561338514089584,,,0.12766283750534058,0.5446696281433105,1.0576086044311523,0.11984935402870178,17.280025482177734,2071.0,112.0,135921.0,62.75757598876953,36.87221145629883
67,-0.03909884765744209,6.9111714363098145,0.0009081334574148059,0.01589912176132202,,,0.131277933716774,0.5411033630371094,1.4403644800186157,0.1202605664730072,17.16273307800293,2064.0,113.0,137985.0,66.58064270019531,38.344993591308594
68,-0.03904586657881737,11.17995834350586,0.0008898719097487628,0.017400290817022324,64.32075500488281,44.062408447265625,0.126717209815979,0.7341747283935547,26.290699005126953,0.04786083102226257,42.24748992919922,2022.0,47.0,140007.0,61.272727966308594,35.4746208190918
69,-0.043885208666324615,6.378604412078857,0.0008520648698322475,0.017147259786725044,,,0.12640023231506348,0.5289692878723145,1.5230635404586792,0.11545629799365997,17.59107208251953,2031.0,110.0,142038.0,58.02857208251953,33.195960998535156
70,-0.042044494301080704,3.960477113723755,0.0009532143594697118,0.01698647439479828,,,0.13033068180084229,0.5477077960968018,1.77543306350708,0.1171175092458725,17.512327194213867,2051.0,111.0,144089.0,64.09375,35.83894348144531
71,-0.04139155521988869,10.434446334838867,0.0009629708365537226,0.01810658536851406,,,0.1300998032093048,0.525629997253418,1.5236608982086182,0.11856208741664886,17.180871963500977,2037.0,113.0,146126.0,65.70967864990234,37.561527252197266
72,-0.03777897730469704,12.805169105529785,0.001080955844372511,0.018030649051070213,,,0.12667129933834076,0.541945219039917,1.5004066228866577,0.11604246497154236,17.881385803222656,2075.0,108.0,148201.0,61.02941131591797,35.3254508972168
73,-0.03917058929800987,5.507170677185059,0.0008743356447666883,0.017744721844792366,,,0.12875913083553314,0.529627799987793,1.6756483316421509,0.11627216637134552,17.278425216674805,2009.0,112.0,150210.0,62.78125,36.25865173339844
74,-0.03900902345776558,7.8953962326049805,0.0007970687001943588,0.01622009091079235,,,0.12945044040679932,0.527937650680542,1.0566294193267822,0.12118717283010483,16.552907943725586,2006.0,117.0,152216.0,62.6875,37.03032684326172
75,-0.03421124443411827,6.727328300476074,0.0008718718308955431,0.015567788854241371,,,0.13199205696582794,0.523855447769165,2.125824213027954,0.1160048171877861,17.550994873046875,2036.0,111.0,154252.0,67.86666870117188,39.20845031738281
76,-0.03614317998290062,7.383257865905762,0.0008467891602776945,0.016406424343585968,62.056602478027344,42.88161087036133,0.13135632872581482,0.534517765045166,25.76180648803711,0.049222432076931,41.20072555541992,2028.0,48.0,156280.0,63.375,37.43266296386719
77,-0.041843537241220474,6.184967041015625,0.000891862204298377,0.0161583349108696,,,0.13256481289863586,0.5320713520050049,1.6882832050323486,0.11922930926084518,16.782787322998047,2001.0,115.0,158281.0,66.69999694824219,37.7923583984375
78,-0.041151680052280426,11.121865272521973,0.0010614714119583368,0.016385039314627647,,,0.13104914128780365,0.5291376113891602,1.730949878692627,0.11772958189249039,17.030553817749023,2005.0,114.0,160286.0,66.83333587646484,39.268455505371094
79,-0.03745333105325699,11.455217361450195,0.000984949991106987,0.0162020493298769,65.49056243896484,45.352054595947266,0.12932246923446655,0.5329265594482422,26.51459312438965,0.04773212596774101,42.02620315551758,2006.0,47.0,162292.0,66.86666870117188,38.577640533447266
80,-0.04005281999707222,12.7952299118042,0.0008709753747098148,0.01653740368783474,,,0.12883248925209045,0.5212242603302002,1.2737748622894287,0.119076669216156,16.821094512939453,2003.0,115.0,164295.0,66.76667022705078,38.595218658447266
81,-0.03808215633034706,8.25327205657959,0.0010410938411951065,0.016984906047582626,,,0.12692195177078247,0.5454225540161133,1.7379623651504517,0.11467786878347397,18.015682220458984,2066.0,108.0,166361.0,59.02857208251953,35.13222122192383
82,-0.03951117768883705,7.167474269866943,0.0009634960442781448,0.017450470477342606,,,0.13061103224754333,0.5434772968292236,1.195065975189209,0.12142810970544815,16.997711181640625,2064.0,114.0,168425.0,64.5,37.60091781616211
83,-0.03589518740773201,7.279085159301758,0.0009135119034908712,0.01724855788052082,,,0.12907975912094116,0.5311195850372314,1.8266969919204712,0.11561734974384308,17.514673233032227,2025.0,111.0,170450.0,63.28125,37.54846954345703
84,-0.040235795080661774,9.654576301574707,0.0009103692718781531,0.016438016667962074,,,0.13119304180145264,0.517894983291626,1.2867796421051025,0.12106065452098846,16.661069869995117,2017.0,116.0,172467.0,67.23332977294922,38.42109680175781
85,-0.03811398148536682,9.077817916870117,0.0009428446064703166,0.01673867739737034,,,0.12704887986183167,0.5359468460083008,1.1726255416870117,0.11846474558115005,17.35537338256836,2056.0,112.0,174523.0,60.47058868408203,35.92180633544922
86,-0.041045308113098145,8.403563499450684,0.0009909167420119047,0.016441935673356056,,,0.13113096356391907,0.5389294624328613,2.1157844066619873,0.11561935395002365,17.88627815246582,2068.0,108.0,176591.0,68.93333435058594,39.76690673828125
87,-0.0452997051179409,7.332147598266602,0.001057349261827767,0.016224566847085953,66.0,45.5863151550293,0.12899698317050934,0.515723466873169,27.081363677978516,0.04763075336813927,42.9344482421875,2045.0,46.0,178636.0,60.14706039428711,34.61088943481445
88,-0.04172331839799881,6.028707504272461,0.0011192483361810446,0.016684090718626976,,,0.1280062347650528,0.5262365341186523,1.6840901374816895,0.1156957671046257,17.511444091796875,2026.0,111.0,180662.0,61.39393997192383,34.4398307800293
89,-0.03953350707888603,6.948433876037598,0.0009138736058957875,0.01577138900756836,,,0.12923091650009155,0.5156159400939941,1.4934781789779663,0.11786782741546631,16.985126495361328,2002.0,114.0,182664.0,62.5625,36.921913146972656
90,-0.04001414775848389,5.335415363311768,0.0009752599289640784,0.014559299685060978,,,0.13132219016551971,0.5647172927856445,1.1085458993911743,0.12266618758440018,16.81800079345703,2063.0,115.0,184727.0,68.76667022705078,40.011962890625
