[93mWARNING: Reward weightings do not sum up to 1, renormalizing.[0m
Episode length = 600, Average reward is 0.7851854707777313.
Episode length = 600, Average reward is 0.7093979117983777.
Episode length = 600, Average reward is 0.7218904713696018.
Episode length = 600, Average reward is 0.7106348857872972.
Episode length = 600, Average reward is 0.7058213730928.
Episode length = 600, Average reward is 0.7158718754696969.
Episode length = 600, Average reward is 0.7023239566245367.
Episode length = 600, Average reward is 0.6964560524023953.
Episode length = 600, Average reward is 0.7068413775656394.
Episode length = 600, Average reward is 0.7098419029465728.
Episode length = 600, Average reward is 0.7147728422212448.
Episode length = 600, Average reward is 0.7203379419262878.
Episode length = 600, Average reward is 0.7156453685008891.
Episode length = 600, Average reward is 0.7129955916153277.
Episode length = 600, Average reward is 0.71183563086066.
Episode length = 600, Average reward is 0.7135852983276771.
Episode length = 600, Average reward is 0.7147458325304208.
Episode length = 600, Average reward is 0.7137192695935138.
Episode length = 600, Average reward is 0.7147484722154409.
Episode length = 600, Average reward is 0.712337591271503.
Episode length = 600, Average reward is 0.7137042387223712.
Episode length = 600, Average reward is 0.7113036052458913.
Episode length = 600, Average reward is 0.708299515978788.
Episode length = 600, Average reward is 0.7083248650382669.
Episode length = 600, Average reward is 0.707848471958354.
Episode length = 600, Average reward is 0.7073869339727344.
Episode length = 600, Average reward is 0.7079029904743036.
Episode length = 600, Average reward is 0.7096098062233345.
Episode length = 600, Average reward is 0.7112935759713662.
Episode length = 600, Average reward is 0.7107546446655152.
Episode length = 600, Average reward is 0.7120247715406374.
Episode length = 600, Average reward is 0.7118538855958483.
Episode length = 600, Average reward is 0.7105122032036473.
Episode length = 600, Average reward is 0.7099403542201574.
Episode length = 600, Average reward is 0.7079669495648094.
Episode length = 600, Average reward is 0.7071848443350343.
Episode length = 600, Average reward is 0.7059154019625308.
Episode length = 600, Average reward is 0.7041805788884876.
Episode length = 600, Average reward is 0.7049121828227737.
Episode length = 600, Average reward is 0.7056653054555241.
Episode length = 600, Average reward is 0.7054601654690933.
Episode length = 600, Average reward is 0.7057822912259848.
Episode length = 600, Average reward is 0.7048053248640614.
Episode length = 600, Average reward is 0.7036897655872124.
Episode length = 600, Average reward is 0.7057944882579544.
Episode length = 600, Average reward is 0.70792586743366.
Episode length = 600, Average reward is 0.7075808780829372.
Episode length = 600, Average reward is 0.7077455587826901.
Episode length = 600, Average reward is 0.708473940414666.
Episode length = 600, Average reward is 0.7088423390901183.
Episode length = 600, Average reward is 0.7092567849306284.
Episode length = 600, Average reward is 0.7085083057700294.
Episode length = 600, Average reward is 0.7094892410877482.
Episode length = 600, Average reward is 0.7087409645751966.
Episode length = 600, Average reward is 0.7088158924713837.
Episode length = 600, Average reward is 0.7080626111878927.
Episode length = 600, Average reward is 0.7063882964627927.
Episode length = 600, Average reward is 0.7068465596192184.
Episode length = 600, Average reward is 0.7085532381704661.
Episode length = 600, Average reward is 0.7078762855764725.
Episode length = 600, Average reward is 0.7086184036045375.
Episode length = 600, Average reward is 0.7076581546624846.
Episode length = 600, Average reward is 0.7085204472331871.
Episode length = 600, Average reward is 0.7082611623973774.
Episode length = 600, Average reward is 0.7086964236984067.
Episode length = 600, Average reward is 0.7093430674638476.
Episode length = 600, Average reward is 0.710801862277733.
Episode length = 600, Average reward is 0.7111346493845567.
Episode length = 600, Average reward is 0.7107533976402769.
Episode length = 600, Average reward is 0.7091801285097535.
Episode length = 600, Average reward is 0.7094629564128138.
Episode length = 600, Average reward is 0.7096569791036286.
Episode length = 600, Average reward is 0.7087588327095126.
Episode length = 600, Average reward is 0.7075687832127648.
Episode length = 600, Average reward is 0.7070061320515737.
Episode length = 600, Average reward is 0.7066044186196024.
Episode length = 600, Average reward is 0.707928135543587.
Episode length = 600, Average reward is 0.7078395213600197.
Episode length = 600, Average reward is 0.7077012192250938.
Episode length = 600, Average reward is 0.7085403011554378.
Episode length = 600, Average reward is 0.7089666191754386.
Episode length = 600, Average reward is 0.7080786443474376.
Episode length = 600, Average reward is 0.7078338607176211.
Episode length = 600, Average reward is 0.7084479409510647.
Episode length = 600, Average reward is 0.709132138255522.
Episode length = 600, Average reward is 0.7093516764531848.
Episode length = 600, Average reward is 0.7096605041297968.
Episode length = 600, Average reward is 0.7094468580700325.
Episode length = 600, Average reward is 0.709163754214152.
Episode length = 600, Average reward is 0.7091016213166238.
Episode length = 600, Average reward is 0.7082076155127799.
Episode length = 600, Average reward is 0.7085434272727336.
Episode length = 600, Average reward is 0.7090722418438831.
Episode length = 600, Average reward is 0.7089321375374915.
Episode length = 600, Average reward is 0.7082425717540658.
Episode length = 600, Average reward is 0.7068967133278077.
Episode length = 600, Average reward is 0.7067853300953129.
Episode length = 600, Average reward is 0.7070383376788824.
Episode length = 600, Average reward is 0.7075957821905211.
Episode length = 600, Average reward is 0.7075504705141636.
Episode length = 600, Average reward is 0.7080709618994745.
Episode length = 600, Average reward is 0.7082041734798568.
Episode length = 600, Average reward is 0.7081429040029307.
Episode length = 600, Average reward is 0.7078687374801352.
Episode length = 600, Average reward is 0.7073036197934283.
Episode length = 600, Average reward is 0.7075270818695988.
Episode length = 600, Average reward is 0.7072723731813261.
Episode length = 600, Average reward is 0.7077536569588155.
Episode length = 600, Average reward is 0.707533953573292.
Episode length = 600, Average reward is 0.7078264208856945.
Episode length = 600, Average reward is 0.7081820327715421.
Episode length = 600, Average reward is 0.708682199187437.
Episode length = 600, Average reward is 0.7083675411373287.
Episode length = 600, Average reward is 0.708127596114914.
Episode length = 600, Average reward is 0.7086182355950547.
Episode length = 600, Average reward is 0.7086273605077811.
Episode length = 600, Average reward is 0.7088088533101793.
Episode length = 600, Average reward is 0.7087887239202253.
Episode length = 600, Average reward is 0.7093864333430218.
Episode length = 600, Average reward is 0.7086267231625797.
Episode length = 600, Average reward is 0.708595865711959.
Episode length = 600, Average reward is 0.7082572385957779.
Episode length = 600, Average reward is 0.7081991670143052.
Episode length = 600, Average reward is 0.707341555809683.
Episode length = 600, Average reward is 0.7072920363605416.
Episode length = 600, Average reward is 0.7070687750280029.
Episode length = 600, Average reward is 0.7074662941317374.
Episode length = 600, Average reward is 0.7074081063220162.
Episode length = 600, Average reward is 0.7076354874499359.
Episode length = 600, Average reward is 0.7070390605053775.
Episode length = 600, Average reward is 0.7066512398607094.
Episode length = 600, Average reward is 0.7068514017417977.
Episode length = 600, Average reward is 0.7068823001741543.
Episode length = 600, Average reward is 0.7074219646241916.
Episode length = 600, Average reward is 0.7068798475018686.
Episode length = 600, Average reward is 0.7070945110026193.
Episode length = 600, Average reward is 0.7067876821819743.
Episode length = 600, Average reward is 0.7073477586662859.
Episode length = 600, Average reward is 0.7077374386366131.
Episode length = 600, Average reward is 0.7076866782830785.
Episode length = 600, Average reward is 0.7078351707700657.
Episode length = 600, Average reward is 0.7077647987147827.
Episode length = 600, Average reward is 0.7076261697952884.
Episode length = 600, Average reward is 0.7072378104016699.
Episode length = 600, Average reward is 0.7064641108532824.
Episode length = 600, Average reward is 0.7063674453782552.
Episode length = 600, Average reward is 0.7063414372971867.
Episode length = 600, Average reward is 0.7059193213129376.
Episode length = 600, Average reward is 0.7059737131457455.
Episode length = 600, Average reward is 0.7058786801389492.
Episode length = 600, Average reward is 0.7051827016013182.
Episode length = 600, Average reward is 0.7052068513756422.
Episode length = 600, Average reward is 0.7045554268740949.
Episode length = 600, Average reward is 0.7043030393773659.
Episode length = 600, Average reward is 0.704461080356656.
Episode length = 600, Average reward is 0.7040191546859844.
Episode length = 600, Average reward is 0.7035745103897385.
Episode length = 600, Average reward is 0.7040430056403186.
Episode length = 600, Average reward is 0.7044226423759932.
Episode length = 600, Average reward is 0.7038933369334855.
Episode length = 600, Average reward is 0.7037238450298435.
Episode length = 600, Average reward is 0.7033077991227352.
Episode length = 600, Average reward is 0.7031455714296804.
Episode length = 600, Average reward is 0.7022166155446599.
Episode length = 600, Average reward is 0.7023564619795605.
Episode length = 600, Average reward is 0.7027975327130744.
Episode length = 600, Average reward is 0.7028009655941748.
Episode length = 600, Average reward is 0.7025616822136749.
