[93mWARNING: Reward weightings do not sum up to 1, renormalizing.[0m
Episode length = 223, Average reward is 0.5028806294237728.
Episode length = 196, Average reward is 0.5061854695099164.
Episode length = 201, Average reward is 0.5109046217634668.
Episode length = 266, Average reward is 0.4988407664258806.
Episode length = 196, Average reward is 0.5001652595829262.
Episode length = 219, Average reward is 0.5053275805309453.
Episode length = 200, Average reward is 0.5046887601701128.
Episode length = 220, Average reward is 0.5098097302775888.
Episode length = 200, Average reward is 0.5139947779252204.
Episode length = 266, Average reward is 0.5055990731855182.
Episode length = 250, Average reward is 0.5075802242790718.
Episode length = 231, Average reward is 0.5022905986095533.
Episode length = 229, Average reward is 0.5043306024891067.
Episode length = 231, Average reward is 0.5028953118551597.
Episode length = 210, Average reward is 0.5012299425749818.
Episode length = 202, Average reward is 0.49860367268203504.
Episode length = 208, Average reward is 0.500672348557011.
Episode length = 229, Average reward is 0.504152724313604.
Episode length = 208, Average reward is 0.5055891325438188.
Episode length = 220, Average reward is 0.5057219466172259.
Episode length = 226, Average reward is 0.5032944535005737.
Episode length = 220, Average reward is 0.5017933635742862.
Episode length = 225, Average reward is 0.5021808311107743.
Episode length = 206, Average reward is 0.5029758512014393.
Episode length = 228, Average reward is 0.5050772992721035.
Episode length = 263, Average reward is 0.5030563202271847.
Episode length = 200, Average reward is 0.5030726794739531.
Episode length = 212, Average reward is 0.5033397850016597.
Episode length = 235, Average reward is 0.5043768098317092.
Episode length = 216, Average reward is 0.5053030507959017.
Episode length = 227, Average reward is 0.506234268419073.
Episode length = 231, Average reward is 0.5069382819249912.
Episode length = 224, Average reward is 0.5078371167851619.
Episode length = 206, Average reward is 0.5073504023190721.
Episode length = 183, Average reward is 0.5068075966602597.
Episode length = 225, Average reward is 0.5073251074166355.
Episode length = 170, Average reward is 0.5072254544729524.
Episode length = 194, Average reward is 0.5062460019801727.
Episode length = 216, Average reward is 0.5060566374279973.
Episode length = 216, Average reward is 0.505197445764264.
Episode length = 233, Average reward is 0.5035594146191184.
Episode length = 203, Average reward is 0.5041556593342768.
Episode length = 229, Average reward is 0.5026613106592182.
Episode length = 208, Average reward is 0.502825270136456.
Episode length = 214, Average reward is 0.5031615593390566.
Episode length = 179, Average reward is 0.5039587036144652.
Episode length = 197, Average reward is 0.5039426721135858.
Episode length = 221, Average reward is 0.505064612784337.
Episode length = 229, Average reward is 0.505823876716268.
Episode length = 237, Average reward is 0.505836958336782.
Episode length = 227, Average reward is 0.5057342209348179.
Episode length = 207, Average reward is 0.5060758939279978.
Episode length = 223, Average reward is 0.5062154365789376.
Episode length = 240, Average reward is 0.5046694540530307.
Episode length = 195, Average reward is 0.5049887033906697.
Episode length = 212, Average reward is 0.5046336060405403.
Episode length = 227, Average reward is 0.5029269603616917.
Episode length = 210, Average reward is 0.5029951412159991.
Episode length = 219, Average reward is 0.5036087763105663.
Episode length = 210, Average reward is 0.5018797771460372.
Episode length = 247, Average reward is 0.5028592003635216.
Episode length = 239, Average reward is 0.5022968972637816.
Episode length = 200, Average reward is 0.5021924296902979.
Episode length = 228, Average reward is 0.5024418825255413.
Episode length = 196, Average reward is 0.5020907652069464.
Episode length = 222, Average reward is 0.5021986330236883.
Episode length = 171, Average reward is 0.5023109071801842.
Episode length = 250, Average reward is 0.5026297901080297.
Episode length = 206, Average reward is 0.5031945309916084.
Episode length = 197, Average reward is 0.5033787458002915.
Episode length = 218, Average reward is 0.5035614266139334.
Episode length = 242, Average reward is 0.5026244554110338.
Episode length = 226, Average reward is 0.5021677835087767.
Episode length = 198, Average reward is 0.501977482877037.
Episode length = 239, Average reward is 0.5024773076325894.
Episode length = 253, Average reward is 0.5017706857072737.
Episode length = 245, Average reward is 0.5022188825065057.
Episode length = 242, Average reward is 0.502249330587326.
Episode length = 169, Average reward is 0.5019005633106901.
Episode length = 232, Average reward is 0.5020755581410064.
Episode length = 198, Average reward is 0.5026060584076804.
Episode length = 276, Average reward is 0.503213277516692.
Episode length = 227, Average reward is 0.5025182192769894.
Episode length = 310, Average reward is 0.5019815244238447.
Episode length = 194, Average reward is 0.5022875030772007.
Episode length = 243, Average reward is 0.5029520666702121.
Episode length = 194, Average reward is 0.5035797666559685.
Episode length = 198, Average reward is 0.5035516123239215.
Episode length = 209, Average reward is 0.503496484492915.
Episode length = 200, Average reward is 0.5032424535689658.
Episode length = 253, Average reward is 0.5034754278723296.
Episode length = 213, Average reward is 0.5032493833350186.
Episode length = 222, Average reward is 0.5034384619707647.
Episode length = 211, Average reward is 0.5037359518493554.
Episode length = 260, Average reward is 0.5034016524466136.
Episode length = 205, Average reward is 0.5034365188996563.
Episode length = 205, Average reward is 0.5037127877311818.
Episode length = 246, Average reward is 0.5042256184803675.
Episode length = 203, Average reward is 0.5042642200997506.
Episode length = 198, Average reward is 0.503669915706246.
Episode length = 225, Average reward is 0.5039734960996123.
Episode length = 212, Average reward is 0.504613850391254.
Episode length = 197, Average reward is 0.5043546943408742.
Episode length = 197, Average reward is 0.5043183678252388.
Episode length = 224, Average reward is 0.5043845863269686.
Episode length = 210, Average reward is 0.5048345408191482.
Episode length = 198, Average reward is 0.5054147087414869.
Episode length = 211, Average reward is 0.5051026648201477.
Episode length = 269, Average reward is 0.5052023590122973.
Episode length = 251, Average reward is 0.5050518414664049.
